Codigo;descricao
1103236;Emb. e impressos Lav. Salfer Super 220V
1103273;Lavadora Lavamax  c/dispenser p/sabao L02-04 220V
1103290;Mistura A BR
2205007;*Espalhador Rapido SABAF
LB81BR;Dep. Suggar Legitimo Biturbo 80CM 127V    C/Lum
LVV7011BR;LVV Suggar Mod Viva 7011 6.0 127V
1103178;Flange do batedor montado
1103220;Lavadora Lavamatic Super TP-VD 220V 50HZ
1103222;Emb. e impressos Lavad MK Tech Super 127V
1103233;Lavadora Salfer Super TP-VD 127V montada
1103234;Lavadora Salfer Super TP-VD 220V montada
1103239;Base BR. Lavamax
1103245;Gabinete Favorita/Lavamax
1103258;Dispenser Azul Lavamax
1103276;Cuba BR. Lavamax
1103277;Lavadora Favorita Plus T03-04 entrada automatica 1
1509007;Calco 50 x 50 x 15mm - Adegas 19 e 39G
1103082;Lav. Predileta Super CZ  127V montada
1103118;Tampa do ralo
1103128;Tampa traseira do painel
1103157;Embalagens e impressos TQ II
1103179;Flange do batedor II
1103180;Trava do flange do batedor
1103187;Lav. Lavamatic Super 127V BR montada
2209004;Sapata de Sustentação
1101657;Painel frontal CLASSIC POWER FISCHER 80 BR tampogr
1101665;Depurador Classic Power Fischer 80cm BR 220V
1101687;Depurador Suggar Vega 60CM 220V 50HZ
1101694;Embalagem e acessórios Dep.  Polaris 60cm EXP
1101698;Kit instalação Depurador SALFER POLARIS
4805099;Resistencia 900W + grill 2000W 230V 
4805113;Anel botao 401402
1101543;Botão de comando da coifa 60/90cm
1101553;Sub-conj. motor 127V - 2 polos- 1 vel - SUGGAR POL
1101558;Monobloco POLARIS 80cm BM pintado
1101575;Painel frontal POLARIS 80 BR tampografado 
1101576;Depurador Suggar Polaris 80cm BR 220V
1101613;Conj. tampa filtrante VenusTokyo 60cm BR montada
1101662;Depurador Classic Power Fischer 60cm BR 127V
1101664;Depurador Classic Power Fischer 80cm BR 127V
1101695;Depurador Salfer Polaris 60cm BR 127V
1101699;Embalagem e acessórios Dep. Salfer Polaris 60cm 22
4805114;Queimador do forno 
4805136;Queimador 504070 
1101519;Painel frontal VEGA 80cm BM tampografado 
51522000;Chave Combinada 30 mm
4805024;Espalhador chama 507009
4805038;Mesa trabalho 200187 
4805043;Porta vidro do forno 
4805047;Queimador 504069 
1101562;Monobloco POLARIS 80cm estampado 
1101568;Monobloco POLARIS 60cm BR pintado
1101597;Depurador Suggar Bi Turbo 60cm BR 127V
1101643;Embalagens e acessórios Dep. BI TURBO 80cm
1101682;Monobloco Suggar Cook Bi Turbo 60cm BM silkado 
1103083;Lav. Predileta Super CZ 220V montada
1103086;Painel removivel Sluxo
1103140;Visor
1103165;Turbilhao II BR montada 127V
4805054;Queimador medio 504074 
4805066;Tampa espalha chama 504117 
4805078;Vela 415057 
1101542;Canto de acabamento esq. coifa 60/90cm
1101577;Embalagem e acessórios Dep.Tokyo Domino 60cm
1101581;Depurador Tokyo Domino  60cm BR  220V 50HZ
1101582;Depurador Tokyo Domino  80cm BR 220V  50HZ
1101603;Monobloco Bi Turbo 60cm dobrado 
1101642;Embalagens e acessórios Dep. SUGGAR POLARIS 80cm
4805108;Tampa espalha chama 101209 
1101660;Embalagens e acessórios Dep. CLASSIC POWER FISCHER
1101672;Embalagens e acessórios Dep. COOK BI TURBO 80cm
1101673;Depurador Suggar Cook Bi Turbo 60cm BM 127V
0102012;Blank FF 0,75 x 1060 x 530mm
0103018;Chapa PSAI AM c/ pelicula 2,0 x 623 x 1990mm  ( PA
0104049;Chapa Galv. 0,65 fita 20mm
4805103;Botao amarelo
4805112;Botao do marcador
1501024;Caixa de papelao p/ Coifa 60cm
1501047;Caixa Coifa 90cm TOKYO
1501055;Caixa Coifa 60cm c/ acessorio
1503015;Protetor de papelao Nova Tourbillion
1505010;Caixa Cook Top 4 Queimadores
4805105;Botao vermelho
0202001;Parafuso aa/cab.pan/fc 3,9 x 9,5
0202006;Velcro branco fita argola / fita gancho largura 16
0203005;Arruela de pressao M-5
0203013;Parafuso p/ Plastico Cab. flangeada /ph 3,5 x 10,0 ZC
0203043;Parafuso p/ Plastico Cab. flangeada/ph 4,0 x 20,0 ZC
0209003;Pe de Sustentacao Adega 19G
0209016;Presilha reiflap Flap -140  6,35mm
0209025;Parafuso cab.pan/fc M-4 x0,7x 60 Galv. 
0216005;Bucha plastica S-8 
4805090;Valvula Derivacao de Gas 502100 
4805100;Mola p/ botao 306022 
0155011;Chapa FF SAE 1008 - 1,50 x 1000 x 2000mm
0201017;Parafuso p/ Plastico Cab. Chata 3,5 x 25,0  ZC
0203028;Eixo do batedor Lav. Lavamatic Super
0203059;Parafuso p/ Plastico Cab. flangeada /ph 5.0x 30,0 AC ZC
0204003;*Parafuso aa/cab.pan/fc 3,9 x 16,0 Galv.
0204007;Parafuso aa/cab.pan/fc 3,5 x 6,5 Galv.
0204015;Ilhos Ø 4.8mm p/ SECADORA 50 x 50
4805107;Tampa espalha chama 101208 
1103230;Emb. e impressos Lav. Lavamatic Plus 220V c/esfreg
1103256;Tampa movel Favorita
1103280;Base Azul Favorita
4805134;Queimador 504071 
4805135;Queimador 504072 
0201001;Parafuso aa/cab.pan/fc 2,9 x 6,5
0201007;Lingueta da trava zincada 
0201035;Parafuso p/ Plastico Cab. flangeada  2,5 x 10,0 CZ
0203022;"""Porca sext. 3/8 """""""
0203056;*Abracadeira de Nylon  c/ 37mm de amarracao
0204017;Sapata de borracha
0212002;"""Parafuso w/cab.pan./fh 5/32 x 1/4"""" ZC """""""
1501040;Calco p/ coifa 60cm EPS 10 x 330 x 380
4805098;Resistencia 1300W 230V 
4805106;Espalhador chama 504105
4805109;Centelhador p/ forno 415009
4805119;Tampa p/ queimador 504125 
0201010;Interruptor oval BR da lampada
1101565;Sub-conj. motor 220V - 2 polos- 1 vel - SUGGAR POL
1101632;Monobloco Bi Turbo 80cm BM silkado 
1101663;Depurador Classic Power Fischer 60cm BR 220V
1101681;Depurador Suggar Cook Bi Turbo 80cm BR 220V
1101688;Depurador Suggar Vega 80CM 220V 50HZ
4805116;Tampa espalha chama 504122 
4805123;Cabecote do queimador 504133
4805137;Espalhador chama 507029
1101598;Depurador Suggar Bi Turbo 80cm BR 220V
1101599;Monobloco Bi Turbo 60cm BR silkado 
1101604;Monobloco Bi Turbo 80cm BR silkado 
1101640;Embalagens e acessórios Dep. SUGGAR BI TURBO 60cm
1101669;Embalagens e acessórios Dep. COOK BI TURBO 60cm
1101676;Depurador Suggar Cook Bi Turbo 80cm BM 220V
1103092;Lav. Predileta Super CZ Tampa Fume 127V montada
1103185;Cuba BR Lavadora Lavamatic Super
4805133;Bico 506137
4805140;Termoelemento 450mm 
4805141;Termoelemento 380mm 
1101633;Monobloco Bi Turbo 60cm BM pintado 
1101637;Kit instalação Depurador SUGGAR BI TURBO
4805083;Valvula Derivacao de Gas 502134 
4805085;Valvula Derivacao de Gas 502136 
4805093;Valvula Derivacao de Gas 502103 
1501027;Calco lateral VEGA esq. 60/80 EPS Shrink
1503022;* Protetor de papelao c/ vinco p/ Lavadora
1504003;Saco plastico PEAD 1050 x 1000 x 0,04mm
1505022;Calco Superior/Inferior p/ Fogao Cook Top 4
1103232;Lav Suggar Lavamatic Plus C/Esfr TP VD 220V montad
1103269;Lavadora Lavamax Super c/dispenser p/sabao e amaci
1155060;Base fixa pintada do expositor  p/ fogao Cook Top
1155073;Reforço da Base  do expositor  p/ foga Cook Top
1505023;Calco Superior/Inferior p/ Fogao Cook Top 5 Q.
4805079;Valvula Derivacao de Gas 502098 
4805096;Termostato 503057 
4805118;Tampa p/ queimador 504124 
1503016;Caixa Lavadora MK Tech Super
1101564;Painel frontal POLARIS 80 BG tampografado 
1101570;Painel frontal POLARIS 60 BR tampografado 
1101524;Painel frontal ANTARES 80cm BG tampografado 
1101538;Conj. suporte da trava tampa esq. BR
1101614;Conj. tampa filtrante Venus 80cm Tokyo  BR montada
1101630;Depurador Suggar Bi Turbo 80cm BR 127V
1101692;Conj. tampa filtrante ANTARES TOKYO 80cm BR monta
1103125;Tampa movel
1103145;Tampa Fixa c/ esfregador BG
1103155;Tourbillion LVT SL 220V/50 HZ BR montada
1103158;Turbilhao Tanquinho II BR montada 127V 
1103183;Batedor completo Tourbilhao II
1103203;Base Turbilhao BR
1103224;Lavad MK Tech Super 127V montada
1101534;Depurador Suggar Antares 80cm BR 220V 50HZ C/Lum.
1101540;Conj. suporte da trava tampa esq. BM
1101557;Depurador Suggar Polaris 80cm BM 220V
0109030;Reforço traseiro da Adega 39G
1003061;Etiqueta Inmetro Lav. VIVA 6.0  127V
1009006;Silicone Preto de Cura neutra 
1016003;Etiqueta p/codigo barras
1024001;Etiqueta p/ Ferro a Vapor Paris FR0521/22BR
1213002;Acido sulfurico 
1401014;Master BG (PS - CR- SD- 0572A2003) p/ painel 
4805044;Porta Vidro do Forno 406143 
1103292;Mistura BG-MASTER PS
4805051;Queimador 510003 
4805059;Suporte panela 408037 
4805064;Tampa espalha chama 101210 
1003050;* Logotipo Suggar para Lavadoras
1003070;Etiqueta Procel Lav. VIVA MAX 6.0
1003072;Etiqueta painel Turbilhao com molho 
1003074;Etiqueta Inmetro Lav. Turbilhao 3.3 127V
1005002;Etiqueta Inmetro Fogao Cook Top 2 Q.
1016018;Ribbon 110mm x 74m   resina externo - AXR9-(PROD)
1155062;Bandeja pintada do expos.p/fogao Cook Top 2 queim.
1155064;Bandeja pintada do expos.p/ fogao Cook Top 4 queim
1155086;Placa promocional silkada do expositor p/ Coifa
4805069;Vela 415001 
4805071;Vela do queimador 415044 
4805097;Vela do queimador Bertazoni 415051 
0201005;*Parafuso MPG flang./ph 3,5 x 12,0
0201027;Fixador auto- adesivo para cabeacao (RK- 3)
1505019;Calco lateral menor p/ Fogao Cook Top 4 Q.
1504002;Protetor p/ Forno (isopor) 
1504007;Caixa Master p/ Forno 8L CH.
1509003;Caixa de papelao p/ Adega 19G
1103266;Batedor em helice Completo Azul
1103267;Lavadora Favorita  Simp. 127V
1103278;Lavadora Favorita Plus T03-04 entrada automatica 2
4805077;Vela 415054 
4805091;Valvula Derivacao de Gas 502101 
1003058;Etiqueta Procel Lav. MK TECH TOP 4.3
1003064;Etiqueta Inmetro Lav. TOP 5.0 127V
1502006;Saco plastico pead  730 x 800 x 0,03mm
1503017;* Calco  da embalagem 50x75x535mm
1103237;Componentes adesivados Lavad. Salfer Super
1103241;Correia perfil trapezoidal Ø 302.3mm
1103252;Tampa da Torre Cata Fiapo
1103285;Tampao Azul do parafuso Favorita
4805068;Termostato 503025 
4805092;Valvula Derivacao de Gas 502102 
0201042;Parafuso aa/cab.pan/fs 4,2 x 38,0
1509009;Calco 15 x 15 x 15mm - Adegas 19 e 39G
1604008;Suporte Injetor F. a gas 
1804004;Vidro da porta forno eletrico Tokyo (exportacao) 
4805102;Motoventilador 220/240V 
1103274;Lavamax Super 220V 50HZ
1103284;Cuba Az Favorita Plus
1103286;Visor Fume da Tampa Movel LAV.
4805121;Cabecote do queimador 504131
0205007;Parafuso cab.pan/fco M-4 x 20mm ZC
0205009;Parafuso cab.pan/ph  M-3  X 0,5 X 10mm Inox
0209005;Tampao de Acabamento Porta Adega 19G
4805088;Botao 401578
4805101;Mola de interrupcao 
4805115;Terminal alavanca da porta 
4805125;Centelhador p/ queimador 415051
1501031;Calco lateral ANTARES 60/80 esq. EPS Shrink
1503002;*Saco plastico PEAD 1100 x 1400 x 0,03mm
1503026;Protetor de papelao caixa Lav.TOP 4.3/Lavamatic/Pr
1504001;Caixa Forno a Gas
4805120;Tampa p/ queimador 504126 
0109022;Chapa FF SAE 1008 - 0.75 x 1200x 3000mm 
0201021;Acionamento da mola da trava
0201045;Parafuso aa/cab.chata/ph 3,5 x 16 PBR
0203006;Parafuso aa/cab.pan/fc 3,5 x 16,0 
0209004;Bucha da dobradica em Nylon
0209015;* Abracadeira Klipers KL3-65 6,5mm
4805128;Bico D150222
4805129;Bico 0,50
1501026;Calco protetor papelao coifa 90cm
1504005;Caixa Forno Eletrico
1505018;Saco plastico PEAD x 0,03mm  Cook Top 5Q TC ESQ.
1505021;Calco Superior/Inferior p/ Fogao Cook Top 2 Q.
1601001;Arame galv. fio 14 (2.10mm)
1604010;"""Conexao Redutora 1/8 X  M12 F. gas """""""
1605002;*Trempe esmaltada do Cook Top
4805086;Valvula Derivacao de Gas 502137 
4805111;Termoelemento 508004 
1101700;Embalagem  e acessórios Dep. Salfer Poalris 80cm 1
4805124;Espalhador chama 504135
4805130;Bico 0,86
0109032;Chapa Galv. 0,65 x 1255 x 568
0201039;Fixador auto- adesivo para cabeacao (RK- 1)
0203004;Grampo do sifao 1/2'
0203020;Bucha flangeada de ferro sinterizado
0203047;Eixo c/ rosca completo  do batedor
0205008;Porca de 1/4  19 f.pp. gas - vedacao do tudo ao re
0216006;Parafuso aa/cab.pan/ph 3,5 x 13,0 inox 
4805094;Termostato 503034 
4805127;Centelhador 700mm
4805138;Cone p/ queimador
0109031;Chapa FF SAE 1008 - 0.75 x 2026 x 618mm
0155006;Coluna esq. expositor coifa soldada
0203001;Parafuso w/cab.pan/fc 3/16 x 1/2 
0204001;Parafuso cab.pan/fc M-4 x 12 Galv.
0204004;Parafuso cab.esc/fc M-4 x 10 Galv.
0204006;Rebite ABA abaulada 3,2 x 5,5  aluminio
0205010;Parafuso cab.pan/ph M-3,5 X 0,6 X6mm Trilobular ZC
0209036;Parafuso ac/cab.ch/ph  5 x 50 CT
0209037;Parafuso cab.pan/fc  M-4 x 10 Latao
4805084;Valvula Derivacao de Gas 502135 
4805126;Centelhador 350mm
4805132;Bico 506145
0109025;"""Barra Chata 5/8x 1/8"""" """""""
0203054;Calco do motor Weg Lav.Top
0209020;Puxador em aço inox da porta Adega 39G 
0224001;Parafuso cab.pan/ph M-4 x 6 Galv. Am. 
1501025;Calco protetor papelao coifa 60cm
1501030;Calco painel VEGA 80 EPS Shrink
1501034;Calco painel ANTARES 80 EPS Shrink
4805142;Queimador forno 
1101684;Monobloco Suggar Cook Bi Turbo 80cm BM silkado 
1101697;Painel frontal SALFER POLARIS 60 BR tampografado 
4805122;Cabecote do queimador 504132
1101523;Painel frontal ANTARES 80cm BR tampografado 
1101536;Pino de articulacao da tampa filtrante 
1101572;Depurador Suggar Polaris 80cm BR 127V
1101595;Depurador Suggar Bi Turbo 60cm BM 127V
1101627;Depurador Suggar Bi Turbo 60cm BM 220V
1155063;Quadro d/ bandeja do expos.p/ fogao Cook Top 2 que
1155070;Tubo p/ Base fixa do expositor  p/ fogao Cook Top
1155072;Tampa de acabamento da Coluna do expositor  p/ fog
515295;Anel Oring 2-247 N0674-70 117,07x 3,53x ANx
1155074;Tubo da Coluna do expositor  p/ fogao Cook Top
1155075;Base fixa  do expositor Depurador ou Coifa
4805104;Tampa espalha chama 504118 
1101535;Depurador Suggar Antares 80cm BM 220V 50HZ C/Lum.
1101539;Conj. suporte da trava tampa dir. BM
1502005;Protetor p/ caixa Secadora 50x50 exp. USA 
4805072;Vela do queimador 515051 
0155005;Placa promocional coifa estampada 
0201014;Parafuso p/ Plastico Cab. Chata 3,5 x 12,0 ZC
0201019;Mola esquerda da trava tampa filtrante
0201034;Parafuso aa/cab.pan/ph 4,2 x 6,5  ZC
0201043;Bucha plastica S-7
0203008;Porca M-8 ZC comun
0203011;Parafuso aa/cab.lent/fc 4,2 x 9,5 ABT ZC
0203021;Bucha cilindrica de ferro sinterizado
0203050;*Canaleta do suporte do motor
0203052;*Parafuso MPG flang. 3,5 x 12,0 - PBR
4805060;Suporte panela 408036 
0209029;"""Arruela lisa 1/4 Galv. """""""
0209031;Clip auto adesivo FC- 1
0212001;Parafuso cab.lentilha/fs 5/32' x 1/4' 
0216007;Parafuso M-4 X 16 cab.pan/ph inox 
4805117;Tampa p/ queimador 504123 
4805139;Termoelemento 320mm 
0109011;Chapa Galv. 0,65 x 1200 x 2000
0201002;Pino trava 11 x 16mm (SAE 1010) 
0201013;Interruptor oval BG do motor
0201036;Mola do pino de articulação
0202003;Parafuso aa/cab.pan/fc 2,9 x 16,0 
0203010;Parafuso M-10 x 25,0 ZA
1003051;Fita gomada VG para embalagem de PET
1003067;Etiqueta painel lavadora TOP MAX 5.0 
1003075;Etiqueta Inmetro Lav. Turbilhao 3.3 220V
1004006;Silicone neutro incolor
1010001;Fita adesiva 25 x 50 base PVC
1024004;Fita adesiva p/ fechar caixas dos ferros
0109014;Chapa FF SAE 1008 - 0.75 x 1000x 1500mm
1004002;Etiqueta do painel Forno Eletrico
0109027;Fechamento Inferior do monob. Adega 39G
1024005;Fita adesiva 50mm X 1.200m (Fechamento cx. mãe de
1403050;Master Verde PME VD 012 - P/PP 
1403053;Master Fume azul escuro p/ Random 
4805041;Mola p/ botao 306002 
4805082;Valvula Derivacao de Gas 502133 
4805089;Valvula Derivacao de Gas 502099 
4805110;Centelhador p/ queimador 415044
0201012;Interruptor oval BR do motor
0201018;Mola direita da trava tampa filtrante
0201020;Rebite ABA abaulada 3,2 x 6 inox
0201037;Parafuso p/ plastico Cab. Chata/ph (prof. 4,6) 3,5 x 12,0 ZC
1003073;Etiqueta Procel Lav. Turbilhao 3.3
1009001;Etiqueta Adega Climatizada Suggar Dijon 19G
0201040;Canto de acabamento cromado dir. coifa 60/90cm
1009002;Etiqueta Adega Climatizada Suggar Cannes 39G
1009004;Fita dupla face 25 x 50
0109034;Dobradica Direita Adega 19G/39G
1003054;Etiqueta Procel Lav. DAKO
1003057;Etiqueta Inmetro Lav. MK TECH TOP 4.3 220V
1003062;Etiqueta Inmetro Lav. VIVA 6.0  220V
1003066;Etiqueta Procel Lav. TOP 5.0
1003069;Etiqueta Inmetro Lav. VIVA MAX 6.0 220V
1004009;Etiqueta do painel FE Easy Clean Saara
1005004;*Etiqueta Inmetro Fogao Cook Top 5 Q.
1016001;* Etiqueta alerta 127V
4805029;Espalhador chama 507020
4805037;Interruptor 604024
4805058;Suporte chave 401236 
0109012;Chapa FF SAE 1008  - 0,9 x 1200 x 2000mm
0201003;Arruela 6.6  2 x 10mm distanciadora nylon
0201004;*Rebite 3,2 x 10 aluminio (5052 - K7)
0201011;Interruptor oval BG da lampada
0201015;Mola trava da turbina 
0201044;Mola do pino de articulação Dep. Painel Central.
1009007;Etiqueta do termostato digital bivolt
1213007;Produto Quimico HBIO 603 
1216001;Massa p/ Polir Coral N° 1
1403019;Master preto c/ anti-chama 
4805032;Grelha 404089
4805070;Vela 415006 
4805073;Vidro do forno 406139 
0109026;Monobloco Adega 39G dobrado
1003063;Etiqueta Procel Lav. VIVA 6.0
1005003;Etiqueta Inmetro Fogao Cook Top 4 Q.
1016004;* Etiqueta alerta 220V
1024002;Etiqueta p/ Ferro a Vapor Milao FR0121/22BR
1213006;Produto Quimico HTR 701 
1401007;Poliamida 6.6 natural
1401012;Master preto PP Depurador 
1403009;Compostcolor 
1403014;Polipropileno CP 201 HC / EP 448-R 
1403029;Master BR Tourbillion/Lavamatic 
1403035;Master Azul 
0202002;Porca sext. M-10 c/flang.central p/solda
0202005;Clip canoa p/ Secadora
0203024;Rebite ABA escariada 3,2 x 8,0 aluminio
0203053;Parafuso aa/cab.pan/fc 3,5 x 13,0 PBR
0209030;Berco fixador de fios RCS-4
1004007;Etiqueta do painel Forno eletrico Tokyo
1009008;Etiqueta Adega Climatizada Suggar 39G Chapa
4805057;Retentor 411070 
4805074;Espalhador chama 504108
4805087;Botao 401576
4805095;Termostato 503040 
0202007;Linha de Nylon p/ Camara de Secagem 
0203002;Porca M-10 ZC
0203060;Cabogrip CG3 PT
0204008;Parafuso p/  Plastico cab. chata /ph 3,5 x 10,0 ZC
0204009;Parafuso aa/cab.pan/ph 4,2 x 9,5mm ZP
0205004;Parafuso aa/cab.pan/ph 3,5 x 9,5 ZC
0210001;Parafuso aa/cab.pan/fc 4,8 x 13,0 ZC 
0210004;Arruela lisa 3/16 ZC
4805026;Espalhador chama 507016
4805055;Queimador pequeno 504073 
0109008;Suporte de Fixacao da dobradica Adega 19G
1003048;Etiqueta Procel Lav. Favorita
0109020;Fechamento Inferior do monob. Adega 19G
0109033;Dobradica Esquerda Adega 19G/39G
1003052;Etiqueta Inmetro Lav. DAKO 127V
1003056;Etiqueta Inmetro Lav. MK TECH TOP 4.3 127V
1004004;Etiqueta do painel FE Exportacao
1401005;Master BR PP Depurador 
91103214;Seviço de Injeção  Filtro cata fiapo VD Lav. Lavamatic
0109013;Chapa FQ SAE 1008 - 3,0 x 1200 x 2000mm
1213004;Starter BBC 
1410017;ABS p/ cromagem
1410023;Poliestireno de alto impacto A TECH natural
LB61BM;Dep. Suggar Legitimo Biturbo 60CM 127V    C/Lum
4805019;Controlador tempo 409006
4805031;Espalhador chama 507040
0105009;Presilha de fixacao p/ eletrodo do fogao Cook Top
1003065;Etiqueta Inmetro Lav. TOP 5.0 220V
1004008;Etiqueta do painel FE Easy Clean Mojave
0201041;Canto de acabamento cromado esq. coifa 60/90cm
1016019;Etiqueta cod.barras papel BR fosco 50x18x2mm
1024003;Etiqueta alerta 127V/220V p/ Ferros
1401006;Master BG PP Depurador 
1403018;Polipropileno CP 241 
1403024;Composto Caco
4805009;Botao 401420
4805021;Espalhador chama 504104
4805048;Queimador 504085 
0209018;Abracadeira metalica c/ protecao de borracha
1403026;Master verde p/ Random (VD 2538) 
4805034;Grelha 404123
4805036;Grelha central 404143
0109006;Suporte de Fixacao da Adega 19G
1003053;Etiqueta Inmetro Lav. DAKO 220V 
0109018;Monobloco Adega 19G Estampado
0903005;Tela cata fiapo Favorita / Lavamax
0155009;Coluna dir. expositor coifa soldada
0203051;Abracadeira de Nylon  c/ 22mm de amarracao
0204010;Parafuso aa/cab.pan/fc 4,8 x 16,0
0204011;Parafuso aa/cab.pan/ph 4,8 x 22,0
0210002;Parafuso aa/cab.pan/fs 4,8 x 50,0 
0855007;"Tubo Aço Industrial Redondo 2.3/8"" # 1,9"
0905004;Guarnicao da Camara Auxiliar
0909005;Isolamento Teto da Caixa Adega 39G 549 x 519,5 x 2
4804110;Mola FE8L  - Spring HK-602
4804123;Caixa p/ forno 23 Litros BR
4805012;Botao do termostato 401450
4805020;Defletor 504080
0101048;Monobloco coifa 90cm inox dobrado 
0101075;* Moldura aluminio T.filt. estampada coifa inox 90
0803004;Mangueira Sanfonada BR 1/2 p/ entrada c/ adaptador
0805003;*Tubo de ligação Ø 6,35mm 4Q/5 TC ESQ Rapido
0805016;*Registro de Gas do queimador Semi Rapido
0902006;Now Woven Kami 70gr/m2 (bobina largura 1,40 m) BR.
0904001;Isolamento termico 1430 x 460 x 25mm
0909004;Gaxeta de vedação da porta  Adega 39G
4804117;Carcaca prata FE8L  - Shel silver HK-602
4805008;Anel botao do gas 401442
4805010;Botao 401457
0803023;Mangueira de protecao de entrada d'agua 
0803027;Mangueira de protecao de entrada d'agua TQ.
0901002;Bidim 100 x 10 MP-1212 750 x 520mm
0903004;Disco de vedacao preto Lav. Lavamatic Super
1203001;Solvente toluol 
1209001;Nitrogenio
1403025;Copolimero Random - RP 141 
1403036;Polipropileno Homopolímero
1403041;Master Cinza p/ Lavamatic 
4804104;Acabamento da porta FE8L - Inner door frane HK-602
4804114;Cobertura da resistencia FE8L-  Heating element co
0803009;"""* Mangueira cristal Ø interno de 3/16 x 2,0mm """""""
0801002;Junta de borracha coifa 90
0803025;Mangueira de protecao da entrada d'agua PVC Viva M
0805008;*Tubo de ligação Ø6,35mm p/ 5Q C.  Rapido/Semi Rap.
0901009;Manta filtrante 380 x 500mm (REF.FIL 4240) 
0905001;*Anel de vedacao do Manipulo do Cook Top
4804129;Suporte da dobradica FE23L Inox 
4805004;Anel botao 401404
4805049;Queimador 510001 
4805063;Tampa espalha chama 101101 
4805067;Tampa superior de vidro 
0101039;Tampa traseira dobrada coifa inox 90cm 
0101057;Duto superior regulavel dobrado
0713009;Aquafil C3 ONU-1362-4.2
0803002;Mangueira cristal c/ duplo adaptador
0803015;Mangueira espiralada BR 3/4 c/ 1,23m
0101114;Bobina FF SAE 1008 - 0,50 x 795mm
0805013;Tubo de alimentacao Cook Top 5 Queim. TC Central
0901012;Batente de borracha p/ coifa
0204016;Anel de autoretencao p/ eixo de 9,5mm
0803005;"""Mangueira espiralada BR 3/4 c/ 1,0m """""""
0855005;"Tubo Aço Industrial Redondo 1.1/4"" # 1,2"
0902009;Espaguete em PVC branco Ø 6mm interno  x 0,4mm  Es
